Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
1,-36.6943,12.2987,,,2.9835917617309144
2,-76.4643,34.9024,108.38195578059806,183.7893435891598,2.190803497753736
3,-80.2093,35.5023,4.8977104348042255,1.718792976987249,2.2592705261349266
4,-63.8689,20.2564,-20.372201228535847,-42.94341493368036,3.1530232420370847
5,-63.2959,3.0619,-0.8971502562279854,-84.88428348571315,20.67209902348215
6,-52.0961,-17.0014,-17.69435303076503,-655.2565400568275,-3.064224122719305
7,-56.0755,10.7646,7.638575632341005,-163.3159622148764,5.20925069208331
8,-69.0363,-18.854,23.113124269957463,-275.14817085632535,-3.6616261801209293
9,-62.9776,-7.9124,-8.776107641921705,-58.03330858173332,-7.959354936555281
10,-57.3588,-38.5932,-8.921902390691294,387.75592740508574,-1.4862410994683
11,-59.7334,-28.2901,4.139905297879309,-26.69667195257196,-2.1114594858271976
12,-53.9387,-36.238,-9.700937833774748,28.09428033128196,-1.4884568684806003
13,-53.6376,-56.0995,-0.5582262827988016,54.80848832717038,-0.9561154733999412
14,-44.408,-43.9634,-17.207332169970314,-21.633169636093008,-1.0101129575965462
15,-60.6189,-64.9501,36.504458656097995,47.73675375425923,-0.9333149602541027
16,-87.0149,-92.9303,43.54417516649099,43.07953336484469,-0.9363458419912558
17,-50.5674,-84.6358,-41.88650449520714,-8.925506535543304,-0.5974705739178928
18,-50.4808,-96.5238,-0.17125658032645097,14.046065612896651,-0.5229881127763308
19,-38.8157,-102.1039,-23.107993534175375,5.781061251214736,-0.38015883820304613
20,-40.4336,-128.4442,4.168158760501539,25.79754544145718,-0.31479506275876995
21,-42.9336,-120.7215,6.182976534367457,-6.012494141424829,-0.35564170425317776
22,-41.8944,-130.1254,-2.4204818603611233,7.7897474766301045,-0.32195405355142037
23,-37.1358,-135.4949,-11.358558661778172,4.126404222388547,-0.2740752603972548
24,-31.8186,-129.0137,-14.318258930735306,-4.783353469392571,-0.246629621505313
25,-36.3614,-113.9513,14.277183785584535,-11.67503916250755,-0.31909596467964824
26,-26.4838,-146.7743,-27.165070651845102,28.804410305104035,-0.18043894605526986
27,-27.4639,-144.2286,3.7007529131015904,-1.734431709093498,-0.1904192372386614
28,-29.3434,-144.2012,6.843529141891724,-0.01899761905752584,-0.20348929135125088
29,-37.7248,-163.0663,28.563152190952668,13.082484750473643,-0.23134639100782933
30,-27.7885,-159.501,-26.338907031978962,-2.1864112940564673,-0.17422147823524617
31,-24.8965,-166.485,-10.407182827428606,4.378655933191644,-0.14954200078085111
32,-21.6503,-158.5788,-13.038780551483132,-4.7488962969637,-0.1365270767593146
